GISJOIN,GEOGYEAR,STATE,STATEA,CW3AA1990,CW3AA1990L,CW3AA1990U,CW3AA2000,CW3AA2000L,CW3AA2000U,CW3AA2010,CW3AB1990,CW3AB1990L,CW3AB1990U,CW3AB2000,CW3AB2000L,CW3AB2000U,CW3AB2010,CW3AC1990,CW3AC1990L,CW3AC1990U,CW3AC2000,CW3AC2000L,CW3AC2000U,CW3AC2010,CW3AD1990,CW3AD1990L,CW3AD1990U,CW3AD2000,CW3AD2000L,CW3AD2000U,CW3AD2010,CW3AE1990,CW3AE1990L,CW3AE1990U,CW3AE2000,CW3AE2000L,CW3AE2000U,CW3AE2010,CW3AF1990,CW3AF1990L,CW3AF1990U,CW3AF2000,CW3AF2000L,CW3AF2000U,CW3AF2010,CW3AG1990,CW3AG1990L,CW3AG1990U,CW3AG2000,CW3AG2000L,CW3AG2000U,CW3AG2010,CW3AH1990,CW3AH1990L,CW3AH1990U,CW3AH2000,CW3AH2000L,CW3AH2000U,CW3AH2010,CW3AI1990,CW3AI1990L,CW3AI1990U,CW3AI2000,CW3AI2000L,CW3AI2000U,CW3AI2010,CW3AJ1990,CW3AJ1990L,CW3AJ1990U,CW3AJ2000,CW3AJ2000L,CW3AJ2000U,CW3AJ2010,CW3AK1990,CW3AK1990L,CW3AK1990U,CW3AK2000,CW3AK2000L,CW3AK2000U,CW3AK2010,CW3AL1990,CW3AL1990L,CW3AL1990U,CW3AL2000,CW3AL2000L,CW3AL2000U,CW3AL2010,CW3AM1990,CW3AM1990L,CW3AM1990U,CW3AM2000,CW3AM2000L,CW3AM2000U,CW3AM2010,CW3AN1990,CW3AN1990L,CW3AN1990U,CW3AN2000,CW3AN2000L,CW3AN2000U,CW3AN2010,CW3AO1990,CW3AO1990L,CW3AO1990U,CW3AO2000,CW3AO2000L,CW3AO2000U,CW3AO2010,CW3AP1990,CW3AP1990L,CW3AP1990U,CW3AP2000,CW3AP2000L,CW3AP2000U,CW3AP2010,CW3AQ1990,CW3AQ1990L,CW3AQ1990U,CW3AQ2000,CW3AQ2000L,CW3AQ2000U,CW3AQ2010,CW3AR1990,CW3AR1990L,CW3AR1990U,CW3AR2000,CW3AR2000L,CW3AR2000U,CW3AR2010,CW3AS1990,CW3AS1990L,CW3AS1990U,CW3AS2000,CW3AS2000L,CW3AS2000U,CW3AS2010,CW3AT1990,CW3AT1990L,CW3AT1990U,CW3AT2000,CW3AT2000L,CW3AT2000U,CW3AT2010,CW3AU1990,CW3AU1990L,CW3AU1990U,CW3AU2000,CW3AU2000L,CW3AU2000U,CW3AU2010,CW3AV1990,CW3AV1990L,CW3AV1990U,CW3AV2000,CW3AV2000L,CW3AV2000U,CW3AV2010
"G350","2010","New Mexico","35",125878.00,125874,125879,130628.00,130628,130628,144981,131059.00,131054,131064,141171.00,141171,141171,143308,121632.00,121631,121635,147309.00,147309,147309,141691,68172.00,68169,68176,89466.00,89466,89466,88692,45766.00,45766,45766,56285.00,56285,56285,61169,22402.00,22402,22404,26641.00,26641,26641,29935,21176.00,21175,21177,24702.00,24702,24702,28237,62480.00,62476,62481,69948.00,69948,69948,84198,126083.00,126076,126085,115387.00,115387,115387,139678,130666.00,130661,130669,118704.00,118704,118704,127567,121963.00,121958,121965,140378.00,140378,140378,123303,105754.00,105746,105758,141631.00,141631,141631,125220,80790.00,80785,80797,131000.00,131000,131000,144839,66658.00,66649,66661,114819.00,114819,114819,147170,62038.00,62036,62043,87140.00,87140,87140,136799,24205.00,24205,24207,30051.00,30051,30051,51238,35285.00,35283,35289,41561.00,41561,41561,68899,55478.00,55477,55481,63227.00,63227,63227,87890,42129.00,42129,42132,54518.00,54518,54518,65904,31723.00,31723,31725,43729.00,43729,43729,50230,19500.00,19500,19501,27445.00,27445,27445,36238,14232.00,14232,14233,23306.00,23306,23306,31993
"G360","2010","New York","36",1255762.85,1255736,1255770,1239417.00,1239411,1239417,1155822,1178004.13,1177988,1178017,1351857.00,1351850,1351858,1163955,1140176.92,1140155,1140190,1332432.93,1332425,1332440,1211456,685601.82,685595,685604,766400.00,766400,766402,793696,544524.84,544519,544527,521144.00,521143,521145,572582,294540.93,294539,294545,260034.00,260034,260034,293083,279689.01,279688,279690,249264.00,249264,249264,281596,834668.99,834665,834671,735011.00,735009,735013,836256,1564614.36,1564599,1564622,1304725.00,1304720,1304726,1380177,1573570.74,1573544,1573586,1452598.98,1452597,1452601,1279160,1426460.95,1426441,1426471,1566082.98,1566078,1566085,1254124,1298224.05,1298206,1298240,1508214.96,1508209,1508220,1355893,1042316.93,1042303,1042326,1341138.01,1341136,1341142,1458763,871602.96,871592,871612,1211798.01,1211792,1211805,1419928,811857.03,811846,811865,932008.00,932005,932011,1237408,335401.92,335400,335403,319811.00,319811,319814,453993,489708.01,489706,489709,436168.00,436166,436168,612267,755342.03,755339,755345,657600.00,657597,657602,773211,592937.03,592933,592944,618446.00,618445,618446,587391,461879.92,461876,461882,514132.00,514132,514132,474807,305390.00,305390,305390,346686.00,346684,346688,391660,248173.00,248173,248173,311488.00,311488,311488,390874
"G370","2010","North Carolina","37",458954.98,458954,458961,539509.00,539509,539510,632040,439621.00,439620,439624,562553.00,562553,562554,635945,436839.97,436838,436847,551366.97,551366,551371,631104,270732.97,270729,270739,310618.00,310618,310621,382546,227097.00,227094,227099,229313.00,229313,229313,277045,121249.00,121249,121250,122685.00,122685,122686,141076,115375.00,115375,115375,117974.00,117974,117974,136169,317332.00,317332,317334,336848.97,336848,336849,384328,572875.00,572875,572881,601522.00,601522,601522,627036,571000.00,571000,571004,611893.00,611893,611894,619557,527924.00,527924,527932,655440.00,655440,655442,659843,479686.92,479680,479691,631680.00,631679,631681,667308,381726.94,381723,381730,570410.97,570410,570413,698753,316977.98,316976,316979,514738.94,514736,514740,669893,295738.98,295737,295745,400206.97,400205,400208,600722,116081.00,116080,116083,134692.00,134691,134693,222924,175083.00,175083,175087,188813.00,188813,188813,315115,274530.00,274530,274535,282836.00,282836,282838,403024,208575.00,208574,208579,250941.00,250941,250941,294543,155430.00,155430,155432,201444.00,201444,201444,223655,95837.00,95837,95837,128366.00,128366,128366,165396,69969.00,69969,69969,105461.00,105461,105461,147461
"G380","2010","North Dakota","38",47845.01,47844,47846,39400.04,39400,39404,44595,52032.01,52030,52034,42982.04,42982,42985,40076,48820.00,48820,48820,47464.01,47464,47465,39790,26688.00,26687,26688,31003.01,31003,31004,25410,19980.00,19980,19981,22615.00,22615,22615,22064,10770.00,10770,10770,11633.00,11633,11633,12484,9963.00,9962,9963,10800.00,10800,10800,12007,27140.00,27140,27141,28070.00,28070,28070,34465,50154.02,50154,50155,38792.02,38792,38794,49596,53861.01,53859,53864,38095.03,38095,38098,40889,50133.01,50133,50134,46991.03,46991,46993,37065,39887.00,39886,39888,51013.02,51013,51014,38197,30635.00,30634,30637,47436.00,47435,47436,46380,26449.01,26449,26451,37995.00,37995,37995,50277,26268.01,26268,26271,28926.04,28926,28929,45946,10975.00,10975,10975,9888.00,9888,9888,15575,16145.00,16145,16146,14619.01,14619,14620,20298,24950.00,24950,24950,23142.01,23142,23143,26028,22591.01,22591,22593,22759.01,22759,22760,20845,18990.00,18990,18992,19085.00,19085,19085,18368,13284.00,13284,13284,14766.00,14766,14766,15548,11240.00,11240,11240,14726.00,14726,14726,16688
"G390","2010","Ohio","39",785149.00,785149,785153,754929.42,754929,754930,720856,795132.66,795131,795149,816346.00,816346,816346,747889,766820.83,766820,766829,827811.00,827811,827811,774699,452636.83,452636,452643,489251.42,489251,489252,487307,341279.83,341279,341284,327614.25,327613,327616,336375,170140.00,170140,170141,160084.00,160084,160084,163986,161619.00,161619,161622,150861.00,150861,150861,157045,463378.00,463378,463379,417983.00,417983,417983,442085,868562.83,868562,868568,735580.90,735579,735582,718630,926622.25,926621,926633,784310.90,784309,784312,691329,853475.83,853475,853484,883769.64,883767,883771,718462,762376.25,762375,762397,921543.25,921542,921545,761369,599372.42,599372,599379,834829.57,834828,834831,855134,514067.08,514065,514079,731549.89,731546,731553,887057,482524.25,482523,482537,553172.64,553170,553174,786857,196535.00,196535,196536,190276.99,190275,190279,284403,300445.00,300445,300447,265451.83,265451,265453,381006,466112.42,466112,466115,402666.25,402665,402668,478864,361914.42,361914,361919,387583.74,387583,387584,371370,268896.42,268896,268902,325467.74,325467,325468,297519,172004.83,172004,172007,215240.42,215240,215241,243833,138030.00,138030,138030,176795.42,176795,176796,230429
"G400","2010","Oklahoma","40",226523.00,226515,226532,236353.00,236353,236354,264126,244122.00,244117,244132,244525.00,244525,244528,259336,231892.00,231883,231898,252029.00,252029,252031,253664,134470.00,134465,134476,159453.00,159453,159454,152540,98623.00,98622,98628,109920.00,109920,109920,111944,49492.00,49491,49492,54754.00,54754,54754,56068,45988.00,45988,45990,50548.00,50548,50548,54032,127285.98,127284,127286,141863.00,141863,141863,159142,248609.00,248605,248621,229026.00,229026,229030,265737,260710.00,260705,260719,222621.00,222621,222622,241018,239543.00,239536,239548,259131.00,259130,259135,232742,212698.00,212692,212707,264391.00,264390,264392,228195,175217.98,175214,175227,240805.00,240805,240807,261242,147757.00,147757,147759,212956.00,212956,212958,264369,141213.98,141211,141222,173199.00,173199,173205,235969,54286.00,54284,54288,59891.96,59890,59895,85815,82941.00,82935,82942,83238.00,83238,83239,118698,131555.00,131549,131560,128756.00,128756,128758,159392,103580.00,103577,103582,113743.00,113743,113743,121075,84855.00,84850,84857,94068.00,94068,94070,95051,58375.00,58375,58375,62208.00,62208,62208,69284,45848.00,45846,45848,57175.00,57175,57175,61912
"G410","2010","Oregon","41",201421.00,201421,201431,223005.00,223005,223005,237556,209775.00,209775,209784,234474.00,234474,234474,237214,201365.00,201365,201374,242098.00,242098,242100,242553,111569.00,111569,111572,146949.00,146949,146949,149130,78386.00,78386,78390,97478.00,97478,97478,105730,40941.00,40941,40941,48047.00,48047,48047,52462,38492.00,38492,38492,45575.00,45575,45575,50575,109709.00,109709,109712,136784.00,136784,136784,150011,211981.00,211981,211988,233850.00,233850,233850,265033,239563.00,239563,239569,236845.00,236845,236845,259111,251195.00,251195,251198,255751.00,255751,255753,251163,223656.00,223655,223666,270823.00,270823,270824,248362,167378.00,167378,167386,271315.00,271315,271315,262879,129217.00,129217,129225,235840.00,235840,235840,276196,116011.00,116010,116016,173008.00,173008,173010,273423,46467.00,46467,46467,55894.00,55894,55895,100551,73871.00,73871,73874,75486.00,75486,75488,135592,122912.00,122912,122915,112613.00,112613,112613,169847,101526.00,101526,101532,106727.00,106727,106727,120194,78546.00,78546,78554,95059.00,95059,95059,91601,49525.00,49525,49528,66345.00,66345,66346,74019,38815.00,38815,38817,57431.00,57431,57432,77872
"G420","2010","Pennsylvania","42",797058.34,797051,797086,727804.00,727802,727813,729538,788301.29,788298,788318,827945.00,827944,827961,753635,755161.14,755159,755181,863849.08,863847,863867,791151,454290.18,454288,454299,502623.00,502622,502625,517831,363768.17,363766,363777,348363.00,348363,348365,387235,187448.09,187448,187451,168194.00,168194,168195,191942,179959.00,179958,179961,159135.00,159135,159135,183257,495600.02,495599,495607,418757.00,418757,418759,498947,920217.21,920213,920237,732701.52,732701,732713,781527,992239.32,992235,992260,827785.54,827783,827795,729592,923018.10,923012,923029,951400.80,951397,951413,764287,821849.02,821845,821865,996676.05,996673,996690,851382,656083.10,656083,656091,908650.26,908650,908657,955763,557762.10,557761,557776,796382.78,796379,796400,984641,552378.00,552378,552386,619969.78,619969,619975,879048,236135.08,236135,236139,210894.26,210894,210898,312575,371271.00,371269,371276,300762.00,300760,300766,430721,590557.00,590556,590562,480656.00,480656,480661,553002,479464.00,479463,479472,488616.26,488613,488622,426536,361306.08,361304,361311,422311.26,422311,422315,362332,225943.00,225942,225945,290015.00,290015,290017,311761,171836.00,171836,171836,237567.00,237567,237569,305676
"G440","2010","Rhode Island","44",66968.99,66964,66969,63895.97,63888,63896,57448,63730.95,63708,63731,71904.96,71893,71905,60440,59405.98,59396,59406,71369.95,71356,71370,63824,35583.98,35575,35584,40650.99,40647,40651,42244,35277.99,35274,35278,34793.98,34789,34794,37802,19651.99,19647,19652,17258.00,17258,17258,19537,17538.00,17537,17538,16109.00,16108,16109,18508,47889.99,47886,47890,38446.00,38445,38446,44122,85851.98,85841,85852,64731.97,64722,64732,65799,87771.98,87758,87772,75593.97,75584,75594,61163,78575.95,78556,78576,85363.96,85353,85364,63730,69040.97,69030,69041,84945.96,84933,84946,73130,53382.99,53376,53383,75428.97,75420,75429,81300,43041.98,43034,43042,66433.97,66425,66434,81050,42076.99,42074,42077,49981.95,49968,49982,70634,18287.00,18287,18287,16297.99,16295,16298,25250,28838.99,28835,28839,22708.99,22707,22709,34705,47209.99,47204,47210,36022.99,36021,36023,42802,38405.99,38400,38406,37660.99,37659,37661,31077,29668.99,29666,29669,34075.99,34072,34076,26645,19246.00,19245,19246,23744.99,23743,23745,24607,16016.00,16015,16016,20897.00,20897,20897,26750
"G450","2010","South Carolina","45",256337.00,256334,256337,264679.00,264677,264679,302297,256076.00,256076,256076,285243.00,285240,285243,295853,253719.00,253715,253719,290479.00,290477,290479,297286,154075.00,154071,154075,169240.00,169235,169240,185038,123559.00,123559,123559,126137.00,126137,126137,143951,61955.00,61954,61955,62103.00,62102,62103,73846,58644.00,58644,58644,58504.00,58504,58504,69700,162368.00,162366,162368,161107.00,161107,161107,188948,296764.00,296761,296764,276855.00,276854,276855,304378,294584.00,294582,294584,283976.00,283973,283976,287678,275683.00,275680,275683,314558.00,314553,314558,296682,247612.00,247610,247612,310566.00,310561,310566,304610,196103.00,196103,196103,287778.00,287775,287778,332766,159507.00,159505,159507,262543.00,262541,262543,326662,148762.00,148758,148762,206762.00,206757,206762,303240,56803.00,56803,56803,69909.00,69908,69909,115411,87217.00,87216,87217,96240.00,96239,96240,165144,140455.00,140453,140455,145599.00,145597,145599,215561,105850.00,105850,105850,124449.00,124449,124449,153482,74914.00,74913,74914,101445.00,101445,101445,113248,44967.00,44967,44967,63571.00,63571,63571,78866,30749.00,30749,30749,50269.00,50269,50269,70717
"G460","2010","South Dakota","46",54503.99,54499,54505,51068.96,51065,51069,59621,58794.99,58788,58797,54485.96,54483,54486,55531,55437.00,55435,55437,59462.99,59461,59463,53960,29726.00,29725,29727,37630.99,37628,37631,33685,20845.00,20844,20845,24832.00,24832,24832,23943,10169.00,10169,10169,12175.00,12175,12175,11907,9661.00,9661,9662,11097.00,11097,11097,11739,27438.00,27436,27438,29530.00,29530,29530,33950,53142.98,53140,53143,45083.98,45082,45084,55570,56269.98,56262,56272,45928.97,45926,45929,49859,52525.99,52523,52526,56586.97,56585,56587,45766,42690.00,42688,42691,58798.98,58797,58799,47346,33527.00,33525,33528,53865.00,53864,53866,57519,29141.99,29140,29142,43817.00,43816,43817,59399,29217.99,29213,29218,33610.96,33605,33611,54231,12176.00,12173,12176,11780.00,11779,11780,18999,18406.00,18404,18406,16957.99,16956,16958,24574,29466.00,29465,29466,27125.99,27124,27126,31944,25004.99,25003,25005,26002.99,26001,26003,25683,20307.00,20302,20307,22520.00,22520,22520,21724,14210.00,14209,14210,16396.00,16396,16396,18004,13343.00,13340,13343,16086.00,16086,16086,19226
"G470","2010","Tennessee","47",333414.95,333408,333416,374879.61,374861,374889,407813,337368.23,337360,337378,395812.78,395781,395817,412181,339098.10,339091,339103,395155.06,395133,395158,418941,206723.12,206717,206728,232672.04,232655,232676,257066,159843.00,159842,159845,162510.63,162505,162513,180120,79104.90,79102,79105,81801.00,81799,81801,89380,73731.00,73730,73732,78906.95,78905,78908,86356,214976.01,214973,214981,225636.95,225621,225638,250508,402976.10,402971,402982,403828.45,403800,403836,417683,409344.34,409333,409350,412071.69,412046,412076,406314,386325.93,386312,386331,453326.35,453300,453332,423622,354661.18,354654,354673,449199.57,449171,449203,430508,286552.98,286545,286555,412703.48,412677,412706,467087,239657.14,239646,239663,374212.23,374200,374222,459349,220951.75,220940,220957,293941.66,293930,293946,414991,85466.99,85463,85469,100478.89,100472,100481,155235,128170.10,128169,128173,138829.61,138823,138831,215489,200986.48,200978,200999,204570.74,204563,204573,280538,156437.11,156427,156442,178281.62,178275,178290,206536,122539.22,122533,122544,144848.24,144845,144855,154517,80062.00,80059,80062,94146.12,94141,94150,111954,58794.08,58793,58797,81465.06,81464,81469,99917
"G480","2010","Texas","48",1390054.00,1390047,1390063,1624628.00,1624623,1624628,1928473,1396173.00,1396163,1396184,1654184.00,1654178,1654184,1928234,1294353.01,1294352,1294371,1631191.92,1631187,1631194,1881883,755259.00,755255,755266,976754.92,976751,976758,1127234,556432.00,556430,556436,659477.00,659476,659480,755890,280266.00,280266,280267,323645.00,323645,323645,369040,264658.00,264657,264659,305287.86,305286,305289,359015,789488.02,789484,789496,910471.00,910470,910472,1089024,1532740.00,1532730,1532756,1591522.00,1591520,1591523,1853039,1553430.00,1553420,1553441,1570561.00,1570555,1570561,1760434,1372521.00,1372515,1372533,1688882.92,1688878,1688884,1763587,1166504.00,1166498,1166517,1633354.92,1633351,1633361,1694795,906582.02,906575,906594,1416177.86,1416174,1416183,1760467,722052.00,722049,722063,1194959.00,1194956,1194959,1674869,661590.02,661583,661598,896520.86,896516,896521,1422924,255420.00,255419,255421,295009.04,295008,295011,500523,372411.00,372407,372414,406660.00,406660,406660,674244,571266.72,571261,571273,610432.00,610431,610432,853100,426969.51,426965,426972,532176.00,532174,532178,619156,334013.80,334008,334015,424034.00,424030,424035,477245,217718.00,217717,217718,267949.47,267946,267951,347206,166605.00,166603,166607,237940.00,237936,237940,305179
"G490","2010","Utah","49",169633.00,169633,169640,209378.00,209378,209385,263924,183674.00,183674,183676,193033.00,193033,193038,249572,183846.00,183846,183848,192288.00,192288,192289,227951,90291.00,90291,90294,123999.00,123999,124000,129580,62164.00,62164,62165,92279.00,92279,92281,91510,28081.00,28081,28081,43149.00,43149,43149,42204,27946.00,27946,27946,46342.00,46342,46343,45173,81795.00,81795,81798,135661.00,135661,135664,139142,137321.00,137321,137323,178474.00,178474,178481,229554,137577.00,137577,137579,148590.00,148590,148593,216133,124209.00,124209,124210,150695.00,150695,150697,178401,100463.00,100463,100465,148841.00,148841,148842,154074,77148.00,77148,77149,131665.00,131665,131666,154831,61333.00,61333,61333,106045.00,106045,106046,152133,54930.00,54930,54931,80053.00,80053,80055,133122,21224.00,21224,21226,26447.00,26447,26447,46154,31257.00,31257,31257,36008.14,36008,36009,60965,48676.00,48676,48677,53734.14,53734,53736,79480,39511.00,39511,39512,47814.00,47814,47814,58744,29266.00,29266,29266,39745.00,39745,39745,45835,18894.00,18894,18896,27178.00,27178,27178,34412,13611.00,13611,13611,21751.00,21751,21751,30991
"G500","2010","Vermont","50",41260.99,41257,41261,33989.00,33989,33989,31952,41788.99,41785,41789,41101.00,41100,41101,34654,37989.99,37984,37990,45396.99,45390,45397,37637,22043.00,22042,22043,27036.00,27034,27036,24990,19656.00,19656,19656,18734.00,18733,18734,21022,10015.00,10014,10015,9222.00,9222,9222,10433,9716.00,9716,9716,8326.00,8326,8326,9651,23779.00,23778,23779,20304.00,20302,20304,23767,45261.00,45260,45261,34182.00,34181,34182,35441,49995.99,49988,49996,40385.00,40383,40385,34181,49057.00,49054,49057,49376.00,49374,49376,36358,43374.99,43366,43375,52512.99,52508,52513,42001,32650.00,32647,32650,50106.99,50103,50107,50110,24739.00,24737,24739,43724.99,43718,43725,52493,22787.00,22784,22787,32603.00,32600,32603,48739,9036.00,9035,9036,10212.00,10209,10212,17634,13445.00,13445,13445,14105.00,14105,14105,23600,20618.00,20618,20618,21126.00,21124,21126,29390,16454.00,16451,16454,19557.00,19557,19557,20148,12825.00,12825,12825,15930.00,15930,15930,15960,8743.00,8743,8743,10901.00,10899,10901,12783,7523.00,7523,7523,9996.00,9996,9996,12797
"G510","2010","Virginia","51",443155.00,443098,443201,461981.97,461912,462016,509625,424360.95,424295,424440,495083.95,495008,495124,511849,398531.00,398450,398613,495955.00,495893,495997,511246,238691.02,238659,238746,285240.96,285203,285296,320957,199864.99,199842,199906,198823.97,198794,198838,230008,108240.00,108232,108258,101546.00,101534,101553,117445,104937.00,104930,104947,97925.99,97921,97933,114918,306688.98,306664,306726,281102.02,281073,281121,339728,574240.97,574186,574298,497171.98,497139,497222,564342,566446.95,566357,566520,539792.94,539710,539834,526077,518257.98,518181,518341,610809.95,610702,610879,540063,473498.04,473427,473585,589879.93,589768,589937,568865,371997.03,371949,372074,526220.98,526135,526286,621155,291335.01,291296,291391,473034.96,472956,473112,592845,257207.00,257164,257261,358441.93,358380,358496,512595,99165.99,99151,99192,116717.92,116696,116736,186629,146270.00,146253,146298,156450.98,156421,156476,255740,228729.99,228703,228784,229552.97,229509,229590,320302,171892.00,171873,171917,202903.00,202877,202943,229502,125297.99,125284,125336,166178.00,166164,166207,173929,78841.00,78831,78869,106432.99,106420,106447,130801,59709.00,59704,59722,87266.00,87263,87277,122403
"G530","2010","Washington","53",366780.00,366780,366780,394306.00,394306,394306,439657,371093.00,371093,371093,425909.00,425909,425909,429877,337662.00,337662,337662,434836.00,434836,434836,438233,185852.00,185852,185852,258792.00,258792,258792,273587,136859.00,136859,136859,169176.00,169176,169176,188541,73950.00,73950,73950,83126.00,83126,83126,94086,70956.00,70956,70956,78453.00,78453,78453,91883,206774.00,206774,206774,228606.00,228606,228606,275543,411822.00,411822,411822,403652.00,403652,403652,480398,443366.00,443366,443366,437478.00,437478,437478,453383,427690.00,427690,427690,483950.00,483950,483950,448607,376073.00,376073,376073,491137.00,491137,491137,459698,284674.00,284674,284674,454223.00,454223,454223,492909,216869.00,216869,216869,391749.00,391749,391749,495296,191602.00,191602,191602,285505.00,285505,285505,453078,75747.00,75747,75747,90326.00,90326,90326,162454,113635.00,113635,113635,120749.00,120749,120749,219633,186679.00,186679,186679,176225.00,176225,176225,270474,149355.00,149355,149355,160941.00,160941,160941,186746,112448.00,112448,112448,142708.00,142708,142708,142068,70505.00,70505,70505,98189.00,98189,98189,111118,56301.00,56301,56301,84085.00,84085,84085,117271
"G540","2010","West Virginia","54",106658.99,106644,106684,101805.01,101800,101849,104060,119874.00,119861,119899,111150.01,111140,111183,106016,134813.00,134802,134837,116182.01,116171,116216,109045,82231.01,82225,82247,73256.01,73254,73275,68297,59824.00,59820,59834,52322.01,52321,52333,51795,27439.00,27437,27440,26749.00,26748,26754,25873,25302.00,25301,25306,25050.00,25050,25050,24305,67426.00,67421,67433,68310.00,68309,68315,67026,122144.00,122130,122161,113577.00,113570,113588,108444,139558.99,139543,139595,115517.02,115510,115560,112254,141183.00,141173,141227,129816.02,129810,129870,117136,129921.01,129906,129952,142433.03,142423,142484,120358,101371.01,101367,101388,141229.01,141218,141269,132924,89947.00,89938,89958,129237.07,129222,129270,143232,85265.00,85258,85280,98916.08,98914,98946,139368,35697.00,35695,35702,35525.07,35522,35533,53956,55924.99,55918,55936,50375.01,50371,50393,71501,87214.99,87205,87227,75863.01,75860,75881,91728,68528.00,68522,68533,72600.00,72596,72612,71792,53708.00,53705,53713,58801.99,58797,58808,54725,33994.99,33991,33998,37851.01,37851,37854,43238,25451.00,25451,25451,31779.00,31777,31779,35921
"G550","2010","Wisconsin","55",360730.05,360730,360734,342340.01,342340,342341,358443,376303.01,376303,376304,379484.08,379484,379491,368617,353587.05,353587,353591,403074.06,403074,403079,375927,198362.03,198362,198365,243858.01,243858,243859,236505,148927.02,148927,148929,163337.00,163337,163337,162704,76463.01,76463,76464,80549.00,80549,80549,80763,73120.00,73120,73120,74769.00,74769,74769,78216,213816.00,213816,213816,201974.00,201974,201974,227573,401345.03,401345,401348,333913.05,333913,333917,372347,420870.03,420870,420873,372255.02,372255,372257,349347,389508.02,389508,389510,435255.02,435255,435257,345328,335109.09,335109,335117,440267.02,440267,440269,380338,260504.01,260504,260505,397693.00,397693,397693,437627,218378.00,218378,218378,334613.00,334613,334613,436126,204647.00,204647,204647,252742.00,252742,252742,385986,83496.00,83496,83496,85316.00,85316,85316,135437,125383.00,125383,125383,119683.00,119683,119683,178388,195309.02,195309,195311,182119.00,182119,182119,227029,163110.01,163110,163111,173188.00,173188,173188,173467,131296.01,131296,131297,146675.01,146675,146676,141252,87213.00,87213,87213,104946.02,104946,104948,117061,74293.01,74293,74294,95625.02,95625,95627,118505
"G560","2010","Wyoming","56",34779.85,34766,34801,30939.72,30926,30945,40203,40616.88,40605,40635,34126.79,34109,34139,37213,38916.84,38905,38931,38375.68,38362,38390,35955,21210.98,21208,21220,25429.94,25425,25439,22031,13596.00,13596,13598,16472.91,16468,16475,16111,6428.99,6427,6430,7632.99,7631,7634,8377,5677.99,5676,5678,6963.99,6963,6965,7974,15682.99,15681,15689,18858.00,18856,18863,23967,33267.89,33255,33279,30083.96,30080,30084,41276,41027.93,41019,41044,29769.91,29756,29775,36373,40913.96,40910,40921,36481.77,36467,36491,33861,33284.99,33280,33289,42282.90,42276,42299,33105,25265.99,25263,25273,40700.96,40698,40706,39472,20231.00,20227,20234,33377.99,33372,33381,44105,17892.99,17890,17894,24935.00,24931,24938,40946,7253.99,7252,7257,8302.99,8301,8306,14123,10342.94,10335,10347,11351.99,11347,11353,18444,15718.99,15718,15722,16598.00,16593,16602,22974,12039.99,12036,12043,14744.98,14742,14749,16594,9107.00,9106,9109,11808.00,11805,11811,12492,5778.99,5778,5779,7806.99,7806,7809,9428,4549.96,4549,4552,6735.00,6735,6735,8602
